,table_name,table_artist,table_data,table_key,table_camelot,table_bpm,table_energy,table_link,table_descr
45,Roar of the Lion (The Lion's Pit),"Wu-Tang Clan, U-God, Kool G Rap, RZA",2025-04-25,B Minor,10A,90,4,/track/6xX6NoYPtEgDWA95cIqUK8/Roar-of-the-Lion-The-Lions-Pit-by-Wu-Tang-Clan-U-God-Kool-G-Rap-RZA,"Wu-Tang Clan, U-God, Kool G Rap, RZA's 'Roar of the Lion (The Lion's Pit)' had a release date set for April 25, 2025. Roar of the Lion (The Lion's Pit) is explicit and may not be suitable for children. With the duration being about 4:09, this song is close to the average duration of a typical track. The song is number 3 out of 12 in Black Samson, the Bastard Swordsman by Wu-Tang Clan, Mathematics. Going off of the ISRC code of this track, we detected that the origin of this track is from Switzerland. In terms of popularity, Roar of the Lion (The Lion's Pit) is currently unknown. Although the overall vibe is very danceable, it does project more negative sounds. "
46,Phone Ring (with Benny The Butcher and Maxo Kream),"Anwar Carrots, Benny The Butcher, Maxo Kream",2025-04-22,E Minor,9A,180,8,/track/0ypqbEoW7tEKMCwZnSq079/Phone-Ring-with-Benny-The-Butcher-and-Maxo-Kream-by-Anwar-Carrots-Benn,"Anwar Carrots, Benny The Butcher, Maxo Kream's 'Phone Ring (with Benny The Butcher and Maxo Kream)' had a release date set for April 22, 2025. Phone Ring (with Benny The Butcher and Maxo Kream) is 2 minutes and 31 seconds long and may contain bad words that may be unsuitable for children. Since Phone Ring only contains only one song in the album, we like to consider this song as a single. Furthermore, we believe that the track originated from United States. The popularity of Phone Ring (with Benny The Butcher and Maxo Kream) is currently not that popular right now. Although the overall vibe is very danceable, it does project more negative sounds. "
47,MONDAY,Quadeca,2025-04-22,F♯ Minor,11A,153,8,/track/13VNbW9gblZQVVM2a7ZQf5/MONDAY-by-Quadeca,"Quadeca's 'MONDAY' had a release date set for April 22, 2025. With this song being around four minutes long, at 4:03, the duration of this song is pretty average compared to other songs. This track is safe for children and doesn't appear to contain any foul language, since the ""Explicit"" tag was not present in this track. The track order of this song in Quadeca's ""MONDAY"" album is number 1 out of 2. Based on our statistics, MONDAY's popularity is average in popularity right now. In our opinion, the overall tone is not very danceable and projects negative sounds, such as being sad, depressed, or angry. "
48,Heart By Heart,Joe Jonas,2025-04-25,G Major,9B,148,8,/track/6NUoW7RwcO1jcrSvJ2V6od/Heart-By-Heart-by-Joe-Jonas,"Joe Jonas's ' ""Heart By Heart"" was released on its scheduled release date, April 25, 2025. The duration of This song is about 3 minutes long, at 3:10. Based on our data, This song appears to be safe for all ages and is not considered explicit. This track is about the average length of a typical track. Because this song is the only song in Heart By Heart and no other songs are present in the album, we classify this track as a single. On top of that, United States appears to be the country where this track was created. Based on our statistics, Heart By Heart's popularity is below average in popularity right now. Since there is more of a neutral sound being played, this makes the track somewhat danceable."
49,Act Right,Sasha Keable,2025-04-25,D♭ Major,3B,90,6,/track/1z0gNe6DiusPKN55RBAvRO/Act-Right-by-Sasha-Keable,"Sasha Keable's 'Act Right' had a release date set for April 25, 2025. Act Right is 2 minutes and 53 seconds long and may contain bad words that may be unsuitable for children. The song is number 1 out of 2 in Act Right by Sasha Keable. Going off of the ISRC code of this track, we detected that the origin of this track is from United Kingdom. In terms of popularity, Act Right is currently unknown. Although the overall vibe is very danceable, it does project more negative sounds. "
50,Lovesick Lullaby,YUNGBLUD,2025-04-25,D♭ Minor,12A,118,7,/track/2LRSQhv3Vi8SkEllnvUhEK/Lovesick-Lullaby-by-YUNGBLUD,"YUNGBLUD's ' ""Lovesick Lullaby"" was released on its scheduled release date, April 25, 2025. Lovesick Lullaby is 2 minutes and 55 seconds long and may contain bad words that may be unsuitable for children. The track order of this song in YUNGBLUD's ""Lovesick Lullaby"" album is number 1 out of 2. On top of that, United States appears to be the country where this track was created. In terms of popularity, Lovesick Lullaby is currently unknown. The overall tone is very danceable, especially with its high energy, which produces more of a euphoric, cheerful, or happy vibe. "
51,On One,Gavin Adcock,2025-04-25,D♭ Minor,12A,118,7,/track/55hxnwxFlgo6ROVsv3AIYa/On-One-by-Gavin-Adcock,"Gavin Adcock's ' ""On One"" was released on its scheduled release date, April 25, 2025. On One is 2 minutes and 43 seconds long and may contain bad words that may be unsuitable for children. Since On One only contains only one song in the album, we like to consider this song as a single. Furthermore, we believe that the track originated from United States. In terms of popularity, On One is currently unknown. The overall tone is very danceable, especially with its high energy, which produces more of a euphoric, cheerful, or happy vibe. "
52,Bullet,"Diplo, VAVO, Priscilla Block",2025-04-23,D♭ Major,3B,124,8,/track/6ASkRRVqWOZxREtftzcd0t/Bullet-by-Diplo-VAVO-Priscilla-Block,"Diplo, VAVO, Priscilla Block's ' ""Bullet"" was released on its scheduled release date, April 23, 2025. The duration of This song is about two minutes long, specifically at 2:35. This song does not appear to have any foul language. Bullet's duration is considered a little bit shorter than the average duration of a typical track. Because this song is the only song in Bullet and no other songs are present in the album, we classify this track as a single. Based on our statistics, Bullet's popularity is unknown right now. Even with the track produces more of a neutral energy, it is pretty danceable compared to others."
53,Air (feat. Julia Michaels),"Gryffin, Excision, Julia Michaels",2025-04-25,F♯ Minor,11A,140,8,/track/7jc0ABEKe6svpZxSnBhQgx/Air-feat-Julia-Michaels-by-Gryffin-Excision-Julia-Michaels,"""Air (feat. Julia Michaels)"" by Gryffin, Excision, Julia Michaels had its release date on April 25, 2025. The duration of This song is about two minutes long, specifically at 2:40. This song does not appear to have any foul language. Air (feat. Julia Michaels)'s duration is considered a little bit shorter than the average duration of a typical track. Because this song is the only song in Air (feat. Julia Michaels) and no other songs are present in the album, we classify this track as a single. Based on our statistics, Air (feat. Julia Michaels)'s popularity is average in popularity right now. Although the tone can be danceable to some, this track does projects more of a negative sound rather than a postive one. "
54,Same Shit,"Murda Beatz, Montell Fish, Bktherula",2025-04-25,C Major,8B,140,9,/track/4nVyUYaZVAN7dMZ5MytGxF/Same-Shit-by-Murda-Beatz-Montell-Fish-Bktherula,"Murda Beatz, Montell Fish, Bktherula's 'Same Shit' had a release date set for April 25, 2025. Same Shit is considered explicit and may contain foul language. This song is about 3 minutes and 5 seconds, which is about the average length of a typical song. Since Same Shit only contains only one song in the album, we like to consider this song as a single. Furthermore, we believe that the track originated from United States. Based on our statistics, Same Shit's popularity is unknown right now. Although the overall vibe is very danceable, it does project more negative sounds. "
55,Ya Fue,"Oscar Maydon, Luis R Conriquez, Jorsshh",2025-04-24,A Major,11B,115,8,/track/5ZTPaP0AYqHhf8txyfGb2i/Ya-Fue-by-Oscar-Maydon-Luis-R-Conriquez-Jorsshh,"Oscar Maydon, Luis R Conriquez, Jorsshh's ' ""Ya Fue"" was released on its scheduled release date, April 24, 2025. Ya Fue is considered explicit and may contain foul language. This song is about 3 minutes and 14 seconds, which is about the average length of a typical song. Since Ya Fue only contains only one song in the album, we like to consider this song as a single. In terms of popularity, Ya Fue is currently unknown. Even with the track produces more of a neutral energy, it is pretty danceable compared to others."
56,Fleeting,Olive Klug,2025-04-22,C Major,8B,96,3,/track/09ib01nme0M8YF51KsIGOk/Fleeting-by-Olive-Klug,"Olive Klug's 'Fleeting' had a release date set for April 22, 2025. Fleeting is explicit and may not be suitable for children. With the duration being about 4:25, this song is close to the average duration of a typical track. The song is number 1 out of 4 in Fleeting by Olive Klug. Going off of the ISRC code of this track, we detected that the origin of this track is from United States. In terms of popularity, Fleeting is currently not that popular. Although the tone can be danceable to some, this track does projects more of a negative sound rather than a postive one. "
57,SINCERITY,SAILORR,2025-04-25,B Minor,10A,133,8,/track/6vsviYXBwZkX3LUdXcnxC1/SINCERITY-by-SAILORR,"SAILORR's ' ""SINCERITY"" was released on its scheduled release date, April 25, 2025. SINCERITY is 2 minutes and 47 seconds long and may contain bad words that may be unsuitable for children. There are a total of 6 in the song's album ""SINCERITY"". In this album, this song's track order is #1. Based on our statistics, SINCERITY's popularity is unknown right now. Since there is more of a neutral sound being played, this makes the track somewhat danceable."
58,Spring,Maria Somerville,2025-04-22,C Major,8B,150,6,/track/0I1525aRa6oK8rtxzC3OUD/Spring-by-Maria-Somerville,"Maria Somerville's 'Spring' had a release date set for April 22, 2025. With this song being around four minutes long, at 3:34, the duration of this song is pretty average compared to other songs. This track is safe for children and doesn't appear to contain any foul language, since the ""Explicit"" tag was not present in this track. There are a total of 4 in the song's album ""Spring"". In this album, this song's track order is #1. Furthermore, we believe that the track originated from United Kingdom. Based on our statistics, Spring's popularity is not that popular right now. Although the tone can be danceable to some, this track does projects more of a negative sound rather than a postive one. "
59,pretty years,Cil,2025-04-25,C Major,8B,172,6,/track/5TBkWxfdtylJzNmwXt9Gm9/pretty-years-by-Cil,"Cil's 'pretty years' had a release date set for April 25, 2025. pretty years is 2 minutes and 59 seconds long and may contain bad words that may be unsuitable for children. Since pretty years only contains only one song in the album, we like to consider this song as a single. Furthermore, we believe that the track originated from United States. The popularity of pretty years is currently unknown right now. Although the tone can be danceable to some, this track does projects more of a negative sound rather than a postive one. "
60,Footprints,"tobi lou, eaJ",2025-04-25,F Major,7B,89,7,/track/0phAKXa5y3ZIE4Wb7NR0wg/Footprints-by-tobi-lou-eaJ,"tobi lou, eaJ's ' ""Footprints"" was released on its scheduled release date, April 25, 2025. Footprints is explicit and may not be suitable for children. With the duration being about 3:54, this song is close to the average duration of a typical track. The song is number 4 out of 10 in Baggy Weather by tobi lou. Going off of the ISRC code of this track, we detected that the origin of this track is from United States. Footprints is unknown right now. The overall mood can be danceable to some, especially with it's high amount of postive energy. "
61,G.I.R.L.,"8485, Danny Brown",2025-04-24,B Minor,10A,128,7,/track/5vpC87nKOdqAXHEzM4X4BL/GIRL-by-8485-Danny-Brown,"On April 24, 2025, the song ""G.I.R.L."" was released by 8485, Danny Brown. The duration of This song is about two minutes long, specifically at 2:42. This song does not appear to have any foul language. G.I.R.L.'s duration is considered a little bit shorter than the average duration of a typical track. Because this song is the only song in G.I.R.L. and no other songs are present in the album, we classify this track as a single. Based on our statistics, G.I.R.L.'s popularity is unknown right now. The overall tone is very danceable, especially with its high energy, which produces more of a euphoric, cheerful, or happy vibe. "
62,Get Started,Alison Wonderland,2025-04-24,F♯ Minor,11A,64,9,/track/6tmMB2iCCxzzpMrQtvZU4c/Get-Started-by-Alison-Wonderland,"""Get Started"" by Alison Wonderland had its release date on April 24, 2025. The duration of This song is about two minutes long, specifically at 2:56. This song does not appear to have any foul language. Get Started's duration is considered a little bit shorter than the average duration of a typical track. Because this song is the only song in Get Started and no other songs are present in the album, we classify this track as a single. On top of that, Australia appears to be the country where this track was created. Get Started is unknown right now. In our opinion, the overall tone is not very danceable and projects negative sounds, such as being sad, depressed, or angry. "
63,Love to Death,Mother Mother,2025-04-25,G Major,9B,174,9,/track/7ymuSgXlOoI4tZGCafwzWv/Love-to-Death-by-Mother-Mother,"On April 25, 2025, the song ""Love to Death"" was released by Mother Mother. With this song being around four minutes long, at 3:33, the duration of this song is pretty average compared to other songs. This track is safe for children and doesn't appear to contain any foul language, since the ""Explicit"" tag was not present in this track. The track order of this song in Mother Mother's ""Love to Death"" album is number 1 out of 2. On top of that, Canada appears to be the country where this track was created. The popularity of Love to Death is currently unknown right now. The overall tone is very danceable, especially with its high energy, which produces more of a euphoric, cheerful, or happy vibe. "
64,Dopamine and Jesus,Luke Bower,2025-04-25,F♯ Major,2B,166,5,/track/4iVq3rMJb1QnJXFoSphDy7/Dopamine-and-Jesus-by-Luke-Bower,"""Dopamine and Jesus"" by Luke Bower had its release date on April 25, 2025. The duration of This song is about 3 minutes long, at 3:24. Based on our data, This song appears to be safe for all ages and is not considered explicit. This track is about the average length of a typical track. The song is number 2 out of 10 in Dopamine and Jesus by Luke Bower. Going off of the ISRC code of this track, we detected that the origin of this track is from United States. The popularity of Dopamine and Jesus is currently unknown right now. Although the tone can be danceable to some, this track does projects more of a negative sound rather than a postive one. "
65,Sober,Hudson Westbrook,2025-04-25,A♭ Major,4B,74,4,/track/0T1tCsZ2qPRf6fwphjlNPM/Sober-by-Hudson-Westbrook,"Hudson Westbrook's 'Sober' had a release date set for April 25, 2025. With this song being around four minutes long, at 3:30, the duration of this song is pretty average compared to other songs. This track is safe for children and doesn't appear to contain any foul language, since the ""Explicit"" tag was not present in this track. Since Sober only contains only one song in the album, we like to consider this song as a single. Furthermore, we believe that the track originated from United States. Sober is unknown right now. In our opinion, the overall tone is not very danceable and projects negative sounds, such as being sad, depressed, or angry. "
66,Bad Apple,Cameron Whitcomb,2025-04-25,B Major,1B,145,7,/track/0nyD5KLTR52cRcPKeewrvA/Bad-Apple-by-Cameron-Whitcomb,"Cameron Whitcomb's ' ""Bad Apple"" was released on its scheduled release date, April 25, 2025. Bad Apple is 2 minutes and 39 seconds long and may contain bad words that may be unsuitable for children. The song is number 1 out of 3 in Bad Apple by Cameron Whitcomb. Going off of the ISRC code of this track, we detected that the origin of this track is from United States. Based on our statistics, Bad Apple's popularity is unknown right now. The overall tone is very danceable, especially with its high energy, which produces more of a euphoric, cheerful, or happy vibe. "
67,BRAINDEAD,WesGhost,2025-04-25,A♭ Major,4B,84,9,/track/6mwoR5rKAOHfGlFhXUDbzl/BRAINDEAD-by-WesGhost,"WesGhost's 'BRAINDEAD' had a release date set for April 25, 2025. The duration of This song is about two minutes long, specifically at 2:35. This song does not appear to have any foul language. BRAINDEAD's duration is considered a little bit shorter than the average duration of a typical track. The song is number 7 out of 7 in AM I DREAMING? by WesGhost. Going off of the ISRC code of this track, we detected that the origin of this track is from United States. BRAINDEAD is unknown right now. In our opinion, the overall tone is not very danceable and projects negative sounds, such as being sad, depressed, or angry. "
68,square one,redveil,2025-04-22,A♭ Major,4B,169,9,/track/2e3dJat3mFqwPWEF7lQaHu/square-one-by-redveil,"redveil's ' ""square one"" was released on its scheduled release date, April 22, 2025. square one is 2 minutes and 39 seconds long and may contain bad words that may be unsuitable for children. Since square one only contains only one song in the album, we like to consider this song as a single. The popularity of square one is currently unknown right now. The mood doesn't appear to be that danceable, but it still produces a high amount of positive energy. "
69,Luna,"Wisin, Kapo",2025-04-24,D Major,10B,114,7,/track/4bTinPC6ZWa6TKpR25tOOR/Luna-by-Wisin-Kapo,"Wisin, Kapo's ' ""Luna"" was released on its scheduled release date, April 24, 2025. The duration of This song is about 3 minutes long, at 3:25. Based on our data, This song appears to be safe for all ages and is not considered explicit. This track is about the average length of a typical track. Because this song is the only song in Luna and no other songs are present in the album, we classify this track as a single. In terms of popularity, Luna is currently unknown. The overall tone is very danceable, especially with its high energy, which produces more of a euphoric, cheerful, or happy vibe. "
70,You4Me,Tiwa Savage,2025-04-22,B♭ Minor,3A,64,7,/track/6HGL76EoYOTR2ETqucHxPA/You4Me-by-Tiwa-Savage,"Tiwa Savage's ' ""You4Me"" was released on its scheduled release date, April 22, 2025. The duration of This song is about two minutes long, specifically at 2:37. This song does not appear to have any foul language. You4Me's duration is considered a little bit shorter than the average duration of a typical track. Since You4Me only contains only one song in the album, we like to consider this song as a single. Based on our data, United States was the country where this track was produced or recorded. You4Me is unknown right now. The overall tone is very danceable, especially with its high energy, which produces more of a euphoric, cheerful, or happy vibe. "
71,V.I.S.,Portugal. The Man,2025-04-25,C Major,8B,95,7,/track/2EUp86hKB1fsdr3Mf5y2dN/VIS-by-Portugal-The-Man,"Portugal. The Man's 'V.I.S.' had a release date set for April 25, 2025. With this song being around four minutes long, at 3:45, the duration of this song is pretty average compared to other songs. This track is safe for children and doesn't appear to contain any foul language, since the ""Explicit"" tag was not present in this track. Since V.I.S. only contains only one song in the album, we like to consider this song as a single. In terms of popularity, V.I.S. is currently unknown. Although the overall vibe is very danceable, it does project more negative sounds. "
72,Sister,Tennis,2025-04-25,F♯ Major,2B,95,5,/track/33YCzOk2Oz1s4Quw5wBT14/Sister-by-Tennis,"Tennis's 'Sister' had a release date set for April 25, 2025. With this song being around four minutes long, at 3:46, the duration of this song is pretty average compared to other songs. This track is safe for children and doesn't appear to contain any foul language, since the ""Explicit"" tag was not present in this track. The song is number 5 out of 9 in Face Down In The Garden by Tennis. In terms of popularity, Sister is currently unknown. In our opinion, the overall tone is not very danceable and projects negative sounds, such as being sad, depressed, or angry. "
73,Tears Dry Tonight,"CYRIL, James Blunt",2025-04-25,G Major,9B,125,7,/track/3WjljjNzoLEQxghZLoAyFQ/Tears-Dry-Tonight-by-CYRIL-James-Blunt,"CYRIL, James Blunt's 'Tears Dry Tonight' had a release date set for April 25, 2025. The duration of This song is about two minutes long, specifically at 2:47. This song does not appear to have any foul language. Tears Dry Tonight's duration is considered a little bit shorter than the average duration of a typical track. Since Tears Dry Tonight only contains only one song in the album, we like to consider this song as a single. Furthermore, we believe that the track originated from Netherlands. Based on our statistics, Tears Dry Tonight's popularity is average in popularity right now. Although the overall vibe is very danceable, it does project more negative sounds. "
74,Just Around the Corner,Beach Bunny,2025-04-25,D♭ Minor,12A,132,10,/track/5Mxmje3T8MAEGBnIEl0k1b/Just-Around-the-Corner-by-Beach-Bunny,"On April 25, 2025, the song ""Just Around the Corner"" was released by Beach Bunny. The duration of This song is about 3 minutes long, at 3:13. Based on our data, This song appears to be safe for all ages and is not considered explicit. This track is about the average length of a typical track. There are a total of 10 in the song's album ""Tunnel Vision"". In this album, this song's track order is #9. Based on our statistics, Just Around the Corner's popularity is unknown right now. The overall tone is very danceable, especially with its high energy, which produces more of a euphoric, cheerful, or happy vibe. "
75,Waterboy,Viagra Boys,2025-04-25,G Major,9B,94,2,/track/2Nyztwz6fs4sXGCqIhAwIO/Waterboy-by-Viagra-Boys,"Viagra Boys's 'Waterboy' had a release date set for April 25, 2025. Waterboy is 2 minutes and 58 seconds long and may contain bad words that may be unsuitable for children. This song is part of viagr aboys by Viagra Boys. The song's track number on the album is #7 out of 11 tracks. Based on our data, Sweden was the country where this track was produced or recorded. In terms of popularity, Waterboy is currently unknown. In our opinion, the overall tone is not very danceable and projects negative sounds, such as being sad, depressed, or angry. "
76,how u been?,Natalie Jane,2025-04-25,F Major,7B,184,7,/track/14MljYk21TMPj3cOQ8Rsz6/how-u-been-by-Natalie-Jane,"Natalie Jane's ' ""how u been?"" was released on its scheduled release date, April 25, 2025. how u been? is 2 minutes and 34 seconds long and may contain bad words that may be unsuitable for children. Because this song is the only song in how u been? and no other songs are present in the album, we classify this track as a single. On top of that, United States appears to be the country where this track was created. The popularity of how u been? is currently unknown right now. Since there is more of a neutral sound being played, this makes the track somewhat danceable."
77,Concrete Cowboy,Lanie Gardner,2025-04-25,D♭ Minor,12A,178,7,/track/1lHcqILwMcqby0k7aUUPQO/Concrete-Cowboy-by-Lanie-Gardner,"Lanie Gardner's ' ""Concrete Cowboy"" was released on its scheduled release date, April 25, 2025. The duration of This song is about two minutes long, specifically at 2:27. This song does not appear to have any foul language. Concrete Cowboy's duration is considered a little bit shorter than the average duration of a typical track. The song is number 1 out of 2 in Concrete Cowboy by Lanie Gardner. The popularity of Concrete Cowboy is currently unknown right now. Even with the track produces more of a neutral energy, it is pretty danceable compared to others."
78,There's A Part I Can't Get Back,Sunflower Bean,2025-04-22,B♭ Major,6B,122,8,/track/1dZcRgX7UjJWNFAdtr8vRv/Theres-A-Part-I-Cant-Get-Back-by-Sunflower-Bean,"Sunflower Bean's ' ""There's A Part I Can't Get Back"" was released on its scheduled release date, April 22, 2025. With this song being around four minutes long, at 4:02, the duration of this song is pretty average compared to other songs. This track is safe for children and doesn't appear to contain any foul language, since the ""Explicit"" tag was not present in this track. There are a total of 3 in the song's album ""There's A Part I Can't Get Back"". In this album, this song's track order is #1. Furthermore, we believe that the track originated from United Kingdom. Based on our statistics, There's A Part I Can't Get Back's popularity is not that popular right now. Since there is more of a neutral sound being played, this makes the track somewhat danceable."
79,Pink Elephant,Arcade Fire,2025-04-25,F♯ Major,2B,166,5,/track/6ujSWkV1lM2YEgJkBIb4VB/Pink-Elephant-by-Arcade-Fire,"""Pink Elephant"" by Arcade Fire had its release date on April 25, 2025. With this song being about 5 minutes long, at This song is fairly a long song compared to the average song length. This song does not have an ""Explicit"" tag, making it safe for all ages. There are a total of 2 in the song's album ""Pink Elephant"". In this album, this song's track order is #1. Furthermore, we believe that the track originated from United Kingdom. The popularity of Pink Elephant is currently unknown right now. Although the tone can be danceable to some, this track does projects more of a negative sound rather than a postive one. "
80,Point and Shoot,Greg Freeman,2025-04-23,D Major,10B,122,8,/track/0kBKkzdS9m3Pxwy2ozwN1z/Point-and-Shoot-by-Greg-Freeman,"Greg Freeman's 'Point and Shoot' had a release date set for April 23, 2025. The duration of This song is about 3 minutes long, at 3:05. Based on our data, This song appears to be safe for all ages and is not considered explicit. This track is about the average length of a typical track. Since Point and Shoot only contains only one song in the album, we like to consider this song as a single. Furthermore, we believe that the track originated from United Kingdom. Based on our statistics, Point and Shoot's popularity is unknown right now. Although the tone can be danceable to some, this track does projects more of a negative sound rather than a postive one. "
81,IF KARMA DOESN’T GET YOU (I WILL),Lauren Spencer Smith,2025-04-25,A Major,11B,98,6,/track/7cAH8MvS4629IUVVdcMAbB/IF-KARMA-DOESNT-GET-YOU-I-WILL-by-Lauren-Spencer-Smith,"Lauren Spencer Smith's 'IF KARMA DOESN’T GET YOU (I WILL)' had a release date set for April 25, 2025. The duration of This song is about two minutes long, specifically at 2:59. This song does not appear to have any foul language. IF KARMA DOESN’T GET YOU (I WILL)'s duration is considered a little bit shorter than the average duration of a typical track. The track order of this song in Lauren Spencer Smith's ""IF KARMA DOESN’T GET YOU (I WILL)"" album is number 1 out of 2. On top of that, United States appears to be the country where this track was created. In terms of popularity, IF KARMA DOESN’T GET YOU (I WILL) is currently unknown. Although the tone can be danceable to some, this track does projects more of a negative sound rather than a postive one. "
82,LOOK @ GOD (feat. LaRussell),"Ray Vaughn, LaRussell",2025-04-25,D Major,10B,100,8,/track/1tclbtBB8h9RnsrrHTAdgy/LOOK-GOD-feat-LaRussell-by-Ray-Vaughn-LaRussell,"Ray Vaughn, LaRussell's ' ""LOOK @ GOD (feat. LaRussell)"" was released on its scheduled release date, April 25, 2025. LOOK @ GOD (feat. LaRussell) is explicit and may not be suitable for children. With the duration being about 3:38, this song is close to the average duration of a typical track. There are a total of 11 in the song's album ""The Good The Bad The Dollar Menu"". In this album, this song's track order is #8. Furthermore, we believe that the track originated from United States. In terms of popularity, LOOK @ GOD (feat. LaRussell) is currently unknown. The overall tone is very danceable, especially with its high energy, which produces more of a euphoric, cheerful, or happy vibe. "
83,No Secrets,Jessie J,2025-04-25,B Minor,10A,86,5,/track/0yR6C6fVO9EecfDKL7e9mY/No-Secrets-by-Jessie-J,"Jessie J's 'No Secrets' had a release date set for April 25, 2025. The duration of This song is about 3 minutes long, at 3:09. Based on our data, This song appears to be safe for all ages and is not considered explicit. This track is about the average length of a typical track. Because this song is the only song in No Secrets and no other songs are present in the album, we classify this track as a single. Furthermore, we believe that the track originated from United States. No Secrets is unknown right now. Although the overall vibe is very danceable, it does project more negative sounds. "
84,Dream A Little Dream,"Armin van Buuren, Sam Gray",2025-04-25,E♭ Major,5B,126,7,/track/3QLYpJeGjyLMIDj7roEphJ/Dream-A-Little-Dream-by-Armin-van-Buuren-Sam-Gray,"Armin van Buuren, Sam Gray's ' ""Dream A Little Dream"" was released on its scheduled release date, April 25, 2025. The duration of This song is about two minutes long, specifically at 2:56. This song does not appear to have any foul language. Dream A Little Dream's duration is considered a little bit shorter than the average duration of a typical track. Because this song is the only song in Dream A Little Dream and no other songs are present in the album, we classify this track as a single. Going off of the ISRC code of this track, we detected that the origin of this track is from Netherlands. Based on our statistics, Dream A Little Dream's popularity is unknown right now. Even with the track produces more of a neutral energy, it is pretty danceable compared to others."
85,Ego,Elita,2025-04-24,A Minor,8A,150,8,/track/4RG4FZ5YYzzFYTeNvDyowd/Ego-by-Elita,"Elita's ' ""Ego"" was released on its scheduled release date, April 24, 2025. Ego is 2 minutes and 59 seconds long and may contain bad words that may be unsuitable for children. Because this song is the only song in Ego and no other songs are present in the album, we classify this track as a single. Based on our statistics, Ego's popularity is unknown right now. Since there is more of a neutral sound being played, this makes the track somewhat danceable."
86,Hot Fun,The Hellp,2025-04-24,A♭ Major,4B,130,10,/track/2E3p2VCXYQMgxtwDt9dLDO/Hot-Fun-by-The-Hellp,"The Hellp's ' ""Hot Fun"" was released on its scheduled release date, April 24, 2025. The duration of This song is about 3 minutes long, at 3:14. Based on our data, This song appears to be safe for all ages and is not considered explicit. This track is about the average length of a typical track. Because this song is the only song in Hot Fun and no other songs are present in the album, we classify this track as a single. On top of that, United States appears to be the country where this track was created. Based on our statistics, Hot Fun's popularity is unknown right now. The overall tone is very danceable, especially with its high energy, which produces more of a euphoric, cheerful, or happy vibe. "
87,Country in the Clouds,"Dylan Marlowe, Conner Smith",2025-04-25,A Major,11B,196,8,/track/7FjO69pOVGMhZMEeMsPWkT/Country-in-the-Clouds-by-Dylan-Marlowe-Conner-Smith,"Dylan Marlowe, Conner Smith's 'Country in the Clouds' had a release date set for April 25, 2025. With this song being around four minutes long, at 3:36, the duration of this song is pretty average compared to other songs. This track is safe for children and doesn't appear to contain any foul language, since the ""Explicit"" tag was not present in this track. Because this song is the only song in Country in the Clouds and no other songs are present in the album, we classify this track as a single. The popularity of Country in the Clouds is currently unknown right now. In our opinion, the overall tone is not very danceable and projects negative sounds, such as being sad, depressed, or angry. "
88,77 - feat. Avril Lavigne,"Billy Idol, Avril Lavigne",2025-04-22,G Major,9B,166,9,/track/6cEG5stzTtXrrCLgWKYV6j/77-feat-Avril-Lavigne-by-Billy-Idol-Avril-Lavigne,"Billy Idol, Avril Lavigne's ' ""77 - feat. Avril Lavigne"" was released on its scheduled release date, April 22, 2025. The duration of This song is about two minutes long, specifically at 2:53. This song does not appear to have any foul language. 77 - feat. Avril Lavigne's duration is considered a little bit shorter than the average duration of a typical track. There is only one song in 77 (feat. Avril Lavigne), so we believe that ""77 - feat. Avril Lavigne"" is a single. The popularity of 77 - feat. Avril Lavigne is currently unknown right now. Since there is more of a neutral sound being played, this makes the track somewhat danceable."
89,U Need 2 Leave,Belly Gang Kushington,2025-04-25,D♭ Major,3B,135,5,/track/1qIaEYGRacHs4VHBocGBx8/U-Need-2-Leave-by-Belly-Gang-Kushington,"Belly Gang Kushington's 'U Need 2 Leave' had a release date set for April 25, 2025. For a fairly short song, this song is ""U Need 2 Leave"" is considered an explicit song with a duration of 1:46. There are a total of 14 in the song's album ""THE STREETS IS YOURS"". In this album, this song's track order is #8. Based on our statistics, U Need 2 Leave's popularity is unknown right now. Although the overall vibe is very danceable, it does project more negative sounds. "
90,Found Love,"Francis Mercier, Von Boch",2025-04-25,B♭ Minor,3A,122,10,/track/1mO3hOEayERMNUGIpAwImF/Found-Love-by-Francis-Mercier-Von-Boch,"""Found Love"" by Francis Mercier, Von Boch had its release date on April 25, 2025. The duration of This song is about 3 minutes long, at 3:20. Based on our data, This song appears to be safe for all ages and is not considered explicit. This track is about the average length of a typical track. Because this song is the only song in Found Love and no other songs are present in the album, we classify this track as a single. Going off of the ISRC code of this track, we detected that the origin of this track is from United States. Based on our statistics, Found Love's popularity is unknown right now. Although the overall vibe is very danceable, it does project more negative sounds. "
91,Consider Him - Live,"UPPERROOM, Abbie Gamboa",2025-04-25,A♭ Major,4B,138,8,/track/0yqqeDcVDTvVHi1Vp0pz2G/Consider-Him-Live-by-UPPERROOM-Abbie-Gamboa,"UPPERROOM, Abbie Gamboa's 'Consider Him - Live' had a release date set for April 25, 2025. This song is about six minutes long, preciously at 5:32, making this song fairly long compared to other songs. There is only one song in 1350 (Live), so we believe that ""Consider Him - Live"" is a single. Based on our statistics, Consider Him - Live's popularity is unknown right now. In our opinion, the overall tone is not very danceable and projects negative sounds, such as being sad, depressed, or angry. "
